Q09161	NcbP1	K12882
O15513	Tpm1	K10373
P09493	Tpm1	K10373
D9YZV3	Tpm1	K10373
D9YZV7	Tpm1	K10373
D9YZV5	Tpm1	K10373
D9YZV4	Tpm1	K10373
D9YZV8	Tpm1	K10373
D9YZV2	Tpm1	K10373
P07951	Tpm2	K10374
Q5VU66	Tpm3	K09290
P06753	Tpm3	K09290
Q5VU72	Tpm3	K09290
P67936	Tpm4	K10375
Q14896	MybPc3	K12568
A5YM48	MybPc3	K12568
A5PL00	MybPc3	K12568
P08590	Myl3	K12749
P10916	Myl2	K10351
Q6IB42	Myl2	K10351
P50402	Emd	K12569
Q6FI02	Emd	K12569
P02545	LmnA	K12641
P08588	AdrB1	K04141
P84996	GnaS	K04632
Q5JWF2	GnaS	K04632
O95467	GnaS	K04632
P63092	GnaS	K04632
A6NI00	GnaS	K04632
Q08828	AdcY1	K08041
Q59FG4	AdcY1	K08041
Q8NFM5	AdcY1	K08041
Q71UM8	AdcY2	K08042
Q08462	AdcY2	K08042
O60266	AdcY3	K08043
B3KT86	AdcY3	K08043
Q86TZ7	AdcY4	K08044
Q8NFM4	AdcY4	K08044
B7Z8A6	AdcY5	K08045
O95622	AdcY5	K08045
B7Z2C7	AdcY5	K08045
O43306	AdcY6	K08046
P51828	AdcY7	K08047
P40145	AdcY8	K08048
Q4F7X0	AdcY8	K08048
O60503	AdcY9	K08049
P17612	PrkAca	K04345
P22694	PrkAcb	K04345
B2RB89	PrkAcb	K04345
B4DKB0	PrkAcb	K04345
B1APG4	PrkAcb	K04345
B7ZA00	PrkAcb	K04345
P22612	PrkAcg	K04345
P51817	PrkX	K04345
Q13936	CacNa1c	K04850
E9PDJ1	CacNa1c	K04850
E9PDJ0	CacNa1c	K04850
Q59GD8	CacNa1d	K04851
Q01668	CacNa1d	K04851
B0FYA3	CacNa1d	K04851
O60840	CacNa1f	K04853
Q13698	CacNa1s	K04857
B3KXG1	CacNb1	K04862
Q02641	CacNb1	K04862
Q08289	CacNb2	K04863
A6PVM7	CacNb2	K04863
Q6TME2	CacNb2	K04863
Q5VVH1	CacNb2	K04863
Q6TME3	CacNb2	K04863
Q59H42	CacNb2	K04863
Q5QJ99	CacNb2	K04863
F8VSG3	CacNb3	K04864
F5H2P6	CacNb3	K04864
P54284	CacNb3	K04864
B7ZAK8	CacNb3	K04864
F5GZW7	CacNb3	K04864
B7Z973	CacNb3	K04864
O00305	CacNb4	K04865
A7BJ74	CacNb4	K04865
B4DG40	CacNb4	K04865
P54289	CacNa2d1	K04858
Q9NY47	CacNa2d2	K04859
Q8IZS8	CacNa2d3	K04860
Q7Z3S7	CacNa2d4	K04861
Q06432	CacNg1	K04866
Q9Y698	CacNg2	K04867
O60359	CacNg3	K04868
Q9UBN1	CacNg4	K04869
Q9UF02	CacNg5	K04870
A6NP74	CacNg6	K04871
A6NFR2	CacNg6	K04871
Q9BXT2	CacNg6	K04871
P62955	CacNg7	K04872
Q8WXS5	CacNg8	K04873
Q92736	Ryr2	K04962
P26678	Pln	K05852
Q5R352	Pln	K05852
E9PD02	Igf1	K05459
Q59GC5	Igf1	K05459
P05019	Igf1	K05459
Q14620	Igf1	K05459
Q5U743	Igf1	K05459
Q13429	Igf1	K05459
P01137	TgfB1	K13375
P61812	TgfB2	K13376
B3KVH9	TgfB3	K13377
P10600	TgfB3	K13377
A5YM40	TgfB3	K13377
P01375	Tnf	K03156
C1K3N5	Tnf	K03156
Q5STB3	Tnf	K03156
P24043	LamA2	K05637
Q59H37	LamA2	K05637
D9YZU2	Myh6	K10352
P13533	Myh6	K10352
P12883	Myh7	K10352
P16615	Atp2a2	K05853
Q4QQH3	Slc8a1	K05849
Q59GN4	Slc8a1	K05849
P32418	Slc8a1	K05849
F6VPY9	Slc8a1	K05849
P78310	CxaDr	K06788
B7WPI3	CxaDr	K06788
P08174	Cd55	K04006
P06241	Fyn	K05703
E1P556	Fyn	K05703
Q59E85	Cav1	K06278
Q2TNI1	Cav1	K06278
Q7Z4F3	Cav1	K06278
Q03135	Cav1	K06278
A9XTE5	Cav1	K06278
P00519	Abl1	K06619
Q59FK4	Abl1	K06619
P42684	Abl2	K08887
A4D2P0	Rac1	K04392
P63000	Rac1	K04392
A4D2P1	Rac1	K04392
P15153	Rac2	K07860
P60763	Rac3	K07861
Q92629	SgcD	K12563
Q13326	SgcG	K12564
Q16586	SgcA	K12565
Q16585	SgcB	K12566
Q5U0N0	SgcB	K12566
Q14118	Dag1	K06265
A1L0U9	Dmd	K10366
E9PDN1	Dmd	K10366
P11532	Dmd	K10366
Q4G0X0	Dmd	K10366
Q8N754	Dmd	K10366
Q16484	Dmd	K10366
Q6NSJ9	Dmd	K10366
A7E212	Dmd	K10366
Q1KLZ0	ActB	K05692
P60709	ActB	K05692
P63261	ActG1	K05692
B2RU06	Eif4g1	K03260
B2RU10	Eif4g1	K03260
O95065	Eif4g1	K03260
Q04637	Eif4g1	K03260
Q96I65	Eif4g1	K03260
B4DSI9	Eif4g1	K03260
P78344	Eif4g2	K03260
Q2TU89	Eif4g2	K03260
Q59GJ0	Eif4g3	K03260
O43432	Eif4g3	K03260
Q504Z1	Eif4g3	K03260
B9EGQ7	Eif4g3	K03260
P24385	CcnD1	K04503
Q6FI00	CcnD1	K04503
Q14790	CasP8	K04398
B2ZP79	Bid	K04726
P55957	Bid	K04726
A8ASI8	Bid	K04726
P99999	CycS	K08738
Q59GG2	CasP9	K04399
B4E1A3	CasP9	K04399
P55211	CasP9	K04399
P42574	CasP3	K02187
Q9Y2K3	Myh15	K10352
P12882	Myh1	K10352
Q567P6	Myh2	K10352
Q9UKX2	Myh2	K10352
P11055	Myh3	K10352
Q9Y623	Myh4	K10352
D9YZU2	Myh6	K10352
P13533	Myh6	K10352
P12883	Myh7	K10352
P13535	Myh8	K10352
P35579	Myh9	K10352
Q60FE2	Myh9	K10352
Q9BWG0	Myh10	K10352
P35580	Myh10	K10352
Q6PK16	Myh10	K10352
Q3MNF1	Myh11	K10352
D2JYH7	Myh11	K10352
P35749	Myh11	K10352
Q3MNF0	Myh11	K10352
Q3MIV8	Myh11	K10352
A7E2Y1	Myh7b	K10352
Q7Z406	Myh14	K10352
A1L2Z2	Myh14	K10352
B3KWH4	Myh14	K10352
Q9UKX3	Myh13	K10352
P29965	Cd40lg	K03161
P25942	Cd40	K03160
Q6ICR9	Hla-dma	K06752
Q31604	Hla-dma	K06752
P28068	Hla-dmb	K06752
P06340	Hla-doa	K06752
Q5QNS2	Hla-dob	K06752
P13765	Hla-dob	K06752
P20036	Hla-dpa1	K06752
Q5STP1	Hla-dpa1	K06752
P04440	Hla-dpb1	K06752
P01909	Hla-dqa1	K06752
Q8MH44	Hla-dqa1	K06752
P01906	Hla-dqa2	K06752
Q5Y7A9	Hla-dqb1	K06752
P01920	Hla-dqb1	K06752
Q5SU54	Hla-dqb1	K06752
Q5Y7D3	Hla-dqb1	K06752
Q5Y7D6	Hla-dqb1	K06752
P01903	Hla-dra	K06752
Q5Y7D1	Hla-drb1	K06752
P01911	Hla-drb1	K06752
P01912	Hla-drb1	K06752
Q29974	Hla-drb1	K06752
D7RIH8	Hla-drb1	K06752
P79483	Hla-drb3	K06752
P13762	Hla-drb4	K06752
Q30154	Hla-drb5	K06752
Q5SUL5	Hla-a	K06751
P04439	Hla-a	K06751
P30443	Hla-a	K06751
B2R7U3	Hla-a	K06751
B1PKY1	Hla-a	K06751
E5FQ95	Hla-b	K06751
P01889	Hla-b	K06751
Q6R739	Hla-c	K06751
O19617	Hla-c	K06751
P10321	Hla-c	K06751
Q95HC2	Hla-c	K06751
P13747	Hla-e	K06751
Q6DU44	Hla-e	K06751
O19682	Hla-e	K06751
A8K8M6	Hla-e	K06751
P30511	Hla-f	K06751
P17693	Hla-g	K06751
Q6DU14	Hla-g	K06751
P33681	Cd80	K05412
A0N0P2	Cd80	K05412
P42081	Cd86	K05413
B7Z702	Cd86	K05413
A8K632	Cd86	K05413
B7Z2F3	Cd86	K05413
P10747	Cd28	K06470
B4E0L1	Cd28	K06470
P14222	Prf1	K07818
P20701	ItgAl	K05718
Q96HB1	ItgAl	K05718
B2RAL6	ItgAl	K05718
P05107	ItgB2	K06464
P05362	IcaM1	K06490
P24043	LamA2	K05637
Q59H37	LamA2	K05637
P01308	Ins	K04526
Q99259	Gad1	K01580
Q8IVA8	Gad1	K01580
Q5VZ30	Gad2	K01580
Q05329	Gad2	K01580
F5GZS3	PtpRn	K07817
Q6NSL1	PtpRn	K07817
Q16849	PtpRn	K07817
Q96IA0	PtpRn	K07817
B4DK12	PtpRn	K07817
Q92932	PtpRn2	K07817
Q9Y4I6	PtpRn2	K07817
E9PC57	PtpRn2	K07817
P16870	Cpe	K01294
P10809	HspD1	K04077
Q6ICR9	Hla-dma	K06752
Q31604	Hla-dma	K06752
P28068	Hla-dmb	K06752
P06340	Hla-doa	K06752
Q5QNS2	Hla-dob	K06752
P13765	Hla-dob	K06752
P20036	Hla-dpa1	K06752
Q5STP1	Hla-dpa1	K06752
P04440	Hla-dpb1	K06752
P01909	Hla-dqa1	K06752
Q8MH44	Hla-dqa1	K06752
P01906	Hla-dqa2	K06752
Q5Y7A9	Hla-dqb1	K06752
P01920	Hla-dqb1	K06752
Q5SU54	Hla-dqb1	K06752
Q5Y7D3	Hla-dqb1	K06752
Q5Y7D6	Hla-dqb1	K06752
P01903	Hla-dra	K06752
Q5Y7D1	Hla-drb1	K06752
P01911	Hla-drb1	K06752
P01912	Hla-drb1	K06752
Q29974	Hla-drb1	K06752
D7RIH8	Hla-drb1	K06752
P79483	Hla-drb3	K06752
P13762	Hla-drb4	K06752
Q30154	Hla-drb5	K06752
P33681	Cd80	K05412
A0N0P2	Cd80	K05412
P42081	Cd86	K05413
B7Z702	Cd86	K05413
A8K632	Cd86	K05413
B7Z2F3	Cd86	K05413
P10747	Cd28	K06470
B4E0L1	Cd28	K06470
O60595	Il12a	K05406
P29459	Il12a	K05406
P29460	Il12b	K05425
P60568	Il2	K05429
Q0GK43	Il2	K05429
P01579	IfnG	K04687
Q5SUL5	Hla-a	K06751
P04439	Hla-a	K06751
P30443	Hla-a	K06751
B2R7U3	Hla-a	K06751
B1PKY1	Hla-a	K06751
E5FQ95	Hla-b	K06751
P01889	Hla-b	K06751
Q6R739	Hla-c	K06751
O19617	Hla-c	K06751
P10321	Hla-c	K06751
Q95HC2	Hla-c	K06751
P13747	Hla-e	K06751
Q6DU44	Hla-e	K06751
O19682	Hla-e	K06751
A8K8M6	Hla-e	K06751
P30511	Hla-f	K06751
P17693	Hla-g	K06751
Q6DU14	Hla-g	K06751
Q53ZZ1	FasLg	K04389
P48023	FasLg	K04389
Q5T9P3	Fas	K04390
P25445	Fas	K04390
P14222	Prf1	K07818
P10144	GzmB	K01353
Q67BC3	GzmB	K01353
P01374	Lta	K05468
Q5STV3	Lta	K05468
P01375	Tnf	K03156
C1K3N5	Tnf	K03156
Q5STB3	Tnf	K03156
P01583	Il1A	K04383
Q53QF9	Il1A	K04383
P01584	Il1B	K04519
P01308	Ins	K04526
P06213	InsR	K04527
P35568	Irs1	K07187
O14654	Irs4	K07187
Q9Y4H2	Irs2	K07187
Q9P084	Irs2	K07187
Q8WYR1	Pik3r5	K02649
E7EX19	Pik3r1	K02649
P27986	Pik3r1	K02649
B3KT19	Pik3r1	K02649
O00459	Pik3r2	K02649
Q92569	Pik3r3	K02649
Q8N381	Pik3r3	K02649
P42336	Pik3ca	K00922
P42338	Pik3cb	K00922
A7E2E0	Pik3cd	K00922
O00329	Pik3cd	K00922
P48736	Pik3cg	K00922
A4D0Q6	Pik3cg	K00922
P14672	Slc2a4	K07191
Q05BQ3	Slc2a4	K07191
Q15848	AdiPoq	K07296
B2R773	AdiPoq	K07296
A8K660	AdiPoq	K07296
Q499G7	MapK1	K04371
P28482	MapK1	K04371
Q1HBJ4	MapK1	K04371
P27361	MapK3	K04371
Q9BWJ1	MapK3	K04371
P42345	MtoR	K07203
O15524	SocS1	K04694
Q4JHT5	SocS1	K04694
O14508	SocS2	K04695
A8K3D1	SocS2	K04695
O14543	SocS3	K04696
Q6FI39	SocS3	K04696
Q8WXH5	SocS4	K04697
Q5H9R6	SocS4	K04697
O14920	IkbKb	K07209
B4E0U4	IkbKb	K07209
A1L4K2	MapK8	K04440
P45983	MapK8	K04440
P45984	MapK9	K04440
P53779	MapK10	K04440
P01375	Tnf	K03156
C1K3N5	Tnf	K03156
Q5STB3	Tnf	K03156
P52945	Pdx1	K07594
Q8NHW3	MafA	K07595
P11168	Slc2a2	K07593
P19367	Hk1	K00844
B3KXY9	Hk1	K00844
P78542	Hk1	K00844
A8K7J7	Hk1	K00844
Q59FD4	Hk1	K00844
P52789	Hk2	K00844
P52790	Hk3	K00844
P35557	Gck	K12407
Q53Y25	Gck	K12407
B4DUU6	Pkm2	K00873
P14618	Pkm2	K00873
B4DNK4	Pkm2	K00873
P30613	PklR	K12406
B2RC52	KcnJ11	K05004
E9PNK0	KcnJ11	K05004
B4DWI4	KcnJ11	K05004
Q09428	AbcC8	K05032
Q13936	CacNa1c	K04850
E9PDJ1	CacNa1c	K04850
E9PDJ0	CacNa1c	K04850
Q59GD8	CacNa1d	K04851
Q01668	CacNa1d	K04851
B0FYA3	CacNa1d	K04851
O00555	CacNa1a	K04344
B5TYJ1	CacNa1a	K04344
Q9NS88	CacNa1a	K04344
Q00975	CacNa1b	K04849
B1AQK4	CacNa1b	K04849
Q15878	CacNa1e	K04852
Q59FG1	CacNa1e	K04852
Q19QZ8	CacNa1g	K04854
O43497	CacNa1g	K04854
Q19R17	CacNa1g	K04854
Q2TAC4	CacNa1g	K04854
Q19R02	CacNa1g	K04854
Q19R11	CacNa1g	K04854
Q19R08	CacNa1g	K04854
Q19R12	CacNa1g	K04854
Q19R03	CacNa1g	K04854
Q19QZ9	CacNa1g	K04854
Q19R13	CacNa1g	K04854
Q05655	PrkCd	K06068
Q02156	PrkCe	K06068
E9PCW2	PrkCz	K06069
B7Z2J7	PrkCz	K06069
Q05513	PrkCz	K06069
Q03014	HheX	K08024
B1AQ17	HheX	K08024
P50219	Mnx1	K08025
F5H401	Mnx1	K08025
Q9UBC0	OneCut1	K08026
P52945	Pdx1	K07594
O00482	Nr5A2	K08027
Q9UEC0	Nr5A2	K08027
F1D8R9	Nr5A2	K08027
Q9Y4Z2	NeuRog3	K08028
O95096	Nkx2-2	K08029
P78426	Nkx6-1	K08030
Q66SS1	Pax6	K08031
P26367	Pax6	K08031
F1T0F8	Pax6	K08031
O43316	Pax4	K08032
F1T0E1	NeuRod1	K08033
Q13562	NeuRod1	K08033
Q14469	Hes1	K06054
P35680	Hnf1b	K08034
Q6FHW6	Hnf1b	K08034
E0YMJ6	Hnf1b	K08034
B0ZTD4	FoxA2	K08035
Q9Y261	FoxA2	K08035
Q8NHW3	MafA	K07595
P41235	Hnf4a	K07292
F1D8T1	Hnf4a	K07292
F1D8T0	Hnf4a	K07292
F1D8S2	Hnf4a	K07292
P20823	Hnf1a	K08036
Q14541	Hnf4g	K08037
F1D8Q4	Hnf4g	K08037
P55318	FoxA3	K08038
P30613	PklR	K12406
P11168	Slc2a2	K07593
P01308	Ins	K04526
P10997	IapP	K08039
P35557	Gck	K12407
Q53Y25	Gck	K12407
Q7RTS1	BhlHa15	K08040
P38606	Atp6v1a	K02145
P15313	Atp6v1b1	K02147
P21281	Atp6v1b2	K02147
Q8NEY4	Atp6v1c2	K02148
P21283	Atp6v1c1	K02148
Q9Y5K8	Atp6v1d	K02149
P36543	Atp6v1e1	K02150
Q53Y06	Atp6v1e1	K02150
A8MUN4	Atp6v1e1	K02150
A8MUE4	Atp6v1e1	K02150
Q96A05	Atp6v1e2	K02150
Q16864	Atp6v1f	K02151
C9J2K4	Atp6v1f	K02151
A4D1K0	Atp6v1f	K02151
Q96LB4	Atp6v1g3	K02152
Q2L6F8	Atp6v1g2	K02152
O95670	Atp6v1g2	K02152
Q5HYU8	Atp6v1g2	K02152
B5MEF0	Atp6v1g2	K02152
Q6NVJ2	Atp6v1g2	K02152
O75348	Atp6v1g1	K02152
Q6IB33	Atp6v1g1	K02152
E9PAS2	Atp6v0e2	K02153
Q8NHE4	Atp6v0e2	K02153
O15342	Atp6v0e1	K02153
Q13488	TciRg1	K02154
Q9Y487	Atp6v0a2	K02154
Q32M47	Atp6v0a4	K02154
Q9HBG4	Atp6v0a4	K02154
A4D1R4	Atp6v0a4	K02154
Q93050	Atp6v0a1	K02154
Q5CZH6	Atp6v0a1	K02154
Q53X12	Atp6v0a1	K02154
Q53ET5	Atp6v0a1	K02154
B7Z3B7	Atp6v0a1	K02154
Q8N8Y2	Atp6v0d2	K02146
P61421	Atp6v0d1	K02146
Q9UI12	Atp6v1h	K02144
B3KUZ7	Atp6v1h	K02144
Q15904	Atp6ap1	K03662
Q9H0C7	Atp6ap1	K03662
P27449	Atp6v0c	K02155
Q99437	Atp6v0b	K03661
D3DPY5	Atp6v0b	K03661
Q6IB32	Atp6v0b	K03661
P24390	KdeLr1	K10949
P33947	KdeLr2	K10949
O43731	KdeLr3	K10949
P13667	PdiA4	K09582
Q96HE7	Ero1l	K10950
B3KME8	Sec61a1	K10956
P61619	Sec61a1	K10956
B3KNF6	Sec61a1	K10956
B3KQ68	Sec61a2	K10956
Q9H9S3	Sec61a2	K10956
B4DX72	Sec61a2	K10956
F8W773	Sec61a2	K10956
Q8TC24	Sec61a2	K10956
P60468	Sec61b	K09481
P60059	Sec61g	K07342
P84077	Arf1	K07937
P84996	GnaS	K04632
Q5JWF2	GnaS	K04632
O95467	GnaS	K04632
P63092	GnaS	K04632
A6NI00	GnaS	K04632
O60266	AdcY3	K08043
B3KT86	AdcY3	K08043
O60503	AdcY9	K08049
P17612	PrkAca	K04345
P22694	PrkAcb	K04345
B2RB89	PrkAcb	K04345
B4DKB0	PrkAcb	K04345
B1APG4	PrkAcb	K04345
B7ZA00	PrkAcb	K04345
P22612	PrkAcg	K04345
P51817	PrkX	K04345
P13569	CftR	K05031
P51787	KcnQ1	K04926
Q96AI9	KcnQ1	K04926
Q53ZR1	Slc12a2	K10951
P55011	Slc12a2	K10951
Q1KLZ0	ActB	K05692
P60709	ActB	K05692
P63261	ActG1	K05692
A2A284	PlcG1	K05859
P19174	PlcG1	K05859
Q9UFY1	PlcG1	K05859
Q4LE43	PlcG1	K05859
P16885	PlcG2	K05859
P17252	PrkCa	K02677
B5BU22	PrkCa	K02677
Q7Z727	PrkCa	K02677
P05771	PrkCb	K02677
P05129	PrkCg	K02677
Q07157	Tjp1	K05701
Q6MZU1	Tjp1	K05701
B7Z7T6	Tjp2	K06098
Q9UDY2	Tjp2	K06098
B7Z2R3	Tjp2	K06098
F5H886	Tjp2	K06098
B7Z2R8	Tjp2	K06098
F5H301	Tjp2	K06098
B7Z954	Tjp2	K06098
Q02817	Muc2	K10955
Q06124	PtpN11	K07293
P08581	Met	K05099
A1L467	Met	K05099
A2A284	PlcG1	K05859
P19174	PlcG1	K05859
Q9UFY1	PlcG1	K05859
Q4LE43	PlcG1	K05859
P16885	PlcG2	K05859
Q07157	Tjp1	K05701
Q6MZU1	Tjp1	K05701
Q9Y624	F11R	K06089
Q6FIB4	F11R	K06089
P57087	Jam2	K06735
B3KWG9	Jam3	K06785
Q9BX67	Jam3	K06785
Q9NSI5	IgsF5	K06786
P78536	AdaM17	K06059
B2RNB2	AdaM17	K06059
Q99075	HbeGf	K08523
P00533	EgfR	K04361
P10145	Il8	K10030
P25024	CxcR1	K04175
P25025	CxcR2	K05050
Q53PC4	CxcR2	K05050
O14672	AdaM10	K06704
P12931	Src	K05704
A8K379	Lyn	K05854
P07948	Lyn	K05854
Q6NUK7	Lyn	K05854
A8K3B6	Csk	K05728
P41240	Csk	K05728
B2R6Q4	Csk	K05728
A4D2P0	Rac1	K04392
P63000	Rac1	K04392
A4D2P1	Rac1	K04392
P60953	Cdc42	K04393
Q16539	MapK14	K04441
Q15759	MapK11	K04441
O15264	MapK13	K04441
P53778	MapK12	K04441
Q13153	Pak1	K04409
P45985	Map2k4	K04430
A1L4K2	MapK8	K04440
P45983	MapK8	K04440
P45984	MapK9	K04440
P53779	MapK10	K04440
P05412	Jun	K04448
Q99558	Map3k14	K04466
O15111	ChuK	K04467
O14920	IkbKb	K07209
B4E0U4	IkbKb	K07209
Q9Y6K9	IkbKg	K07210
P25963	NfkBia	K04734
P19838	NfkB1	K02580
Q04206	RelA	K04735
Q9Y239	Nod1	K08727
D0EI67	Ccl5	K12499
P13501	Ccl5	K12499
C9JFM0	PtpRz1	K08114
P23471	PtpRz1	K08114
B4DFE7	PtpRz1	K08114
Q9Y2X7	Git1	K05737
Q59FC3	Git1	K05737
B4DGU9	Git1	K05737
P42574	CasP3	K02187
P38606	Atp6v1a	K02145
P15313	Atp6v1b1	K02147
P21281	Atp6v1b2	K02147
Q8NEY4	Atp6v1c2	K02148
P21283	Atp6v1c1	K02148
Q9Y5K8	Atp6v1d	K02149
P36543	Atp6v1e1	K02150
Q53Y06	Atp6v1e1	K02150
A8MUN4	Atp6v1e1	K02150
A8MUE4	Atp6v1e1	K02150
Q96A05	Atp6v1e2	K02150
Q16864	Atp6v1f	K02151
C9J2K4	Atp6v1f	K02151
A4D1K0	Atp6v1f	K02151
Q96LB4	Atp6v1g3	K02152
Q2L6F8	Atp6v1g2	K02152
O95670	Atp6v1g2	K02152
Q5HYU8	Atp6v1g2	K02152
B5MEF0	Atp6v1g2	K02152
Q6NVJ2	Atp6v1g2	K02152
O75348	Atp6v1g1	K02152
Q6IB33	Atp6v1g1	K02152
E9PAS2	Atp6v0e2	K02153
Q8NHE4	Atp6v0e2	K02153
O15342	Atp6v0e1	K02153
Q13488	TciRg1	K02154
Q9Y487	Atp6v0a2	K02154
Q32M47	Atp6v0a4	K02154
Q9HBG4	Atp6v0a4	K02154
A4D1R4	Atp6v0a4	K02154
Q93050	Atp6v0a1	K02154
Q5CZH6	Atp6v0a1	K02154
Q53X12	Atp6v0a1	K02154
Q53ET5	Atp6v0a1	K02154
B7Z3B7	Atp6v0a1	K02154
Q8N8Y2	Atp6v0d2	K02146
P61421	Atp6v0d1	K02146
Q9UI12	Atp6v1h	K02144
B3KUZ7	Atp6v1h	K02144
Q15904	Atp6ap1	K03662
Q9H0C7	Atp6ap1	K03662
P27449	Atp6v0c	K02155
Q99437	Atp6v0b	K03661
D3DPY5	Atp6v0b	K03661
Q6IB32	Atp6v0b	K03661
P09341	CxcL1	K05505
O60602	Tlr5	K10168
P08571	Cd14	K04391
D1CS53	Tlr4	K10160
O00206	Tlr4	K10160
Q9Y6Y9	Ly96	K05400
E5RJJ7	Ly96	K05400
P68363	TubA1b	K07374
Q6PEY2	TubA3e	K07374
Q13748	TubA3d	K07374
Q1ZYQ1	TubA3d	K07374
Q9NY65	TubA8	K07374
B3KPW9	TubA8	K07374
P68366	TubA4a	K07374
Q13748	TubA3c	K07374
Q1ZYQ1	TubA3c	K07374
Q71U36	TubA1a	K07374
A6NHL2	TubAl3	K07374
Q9BQE3	TubA1c	K07374
Q13509	TubB3	K07375
A8K854	TubB3	K07375
Q53G92	TubB3	K07375
P04350	TubB4	K07375
P68371	TubB2c	K07375
P07437	TubB	K07375
Q5SU16	TubB	K07375
Q3ZCM7	TubB8	K07375
Q9BVA1	TubB2b	K07375
Q13885	TubB2a	K07375
Q9H4B7	TubB1	K07375
Q9BUF5	TubB6	K07375
Q92974	ArhGef2	K12791
P61586	RhoA	K04513
Q9BVT0	RhoA	K04513
Q13464	RocK1	K04514
O75116	RocK2	K04514
P16333	Nck1	K07365
B7Z751	Nck1	K07365
O43639	Nck2	K07365
E7ERP6	Nck2	K07365
P42768	Was	K05747
O00401	WasL	K05747
O15143	ArpC1b	K05757
A4D275	ArpC1b	K05757
Q92747	ArpC1a	K05757
Q53R19	ArpC2	K05758
O15144	ArpC2	K05758
O15145	ArpC3	K05756
P59998	ArpC4	K05755
C9JWM7	ArpC4	K05755
F6TTL5	ArpC4	K05755
O15511	ArpC5	K05754
Q9BPX5	ArpC5l	K05754
Q1KLZ0	ActB	K05692
P60709	ActB	K05692
P63261	ActG1	K05692
P06241	Fyn	K05703
E1P556	Fyn	K05703
P00519	Abl1	K06619
Q59FK4	Abl1	K06619
Q14247	CttN	K06106
Q53HG7	CttN	K06106
Q96H99	CttN	K06106
Q8N707	CttN	K06106
P14317	HclS1	K06106
P19338	Ncl	K11294
B3KM80	Ncl	K11294
P05556	ItgB1	K05719
P60953	Cdc42	K04393
P15311	Ezr	K08007
A8K1U7	Cdh1	K05689
P12830	Cdh1	K05689
P35222	CtnNb1	K02105
P27348	YwhAq	K06630
P05783	Krt18	K07604
P17252	PrkCa	K02677
B5BU22	PrkCa	K02677
Q7Z727	PrkCa	K02677
P63104	YwhAz	K06630
D0PNI1	YwhAz	K06630
A5JSJ9	CldN1	K06087
O95832	CldN1	K06087
P08648	ItgA5	K06484
P05556	ItgB1	K05719
B6EAT9	Cd44	K06256
O95370	Cd44	K06256
P16070	Cd44	K06256
Q6ICQ8	RhoG	K07863
P84095	RhoG	K07863
Q92556	ElmO1	K12366
A4D1X5	ElmO1	K12366
Q14185	DocK1	K13708
A4D2P0	Rac1	K04392
P63000	Rac1	K04392
A4D2P1	Rac1	K04392
Q92558	WasF1	K05753
Q9Y6W5	WasF2	K05748
B4DZN0	WasF2	K05748
O15511	ArpC5	K05754
Q9BPX5	ArpC5l	K05754
P59998	ArpC4	K05755
C9JWM7	ArpC4	K05755
F6TTL5	ArpC4	K05755
O15145	ArpC3	K05756
O15143	ArpC1b	K05757
A4D275	ArpC1b	K05757
Q92747	ArpC1a	K05757
Q53R19	ArpC2	K05758
O15144	ArpC2	K05758
A8K3B6	Csk	K05728
P41240	Csk	K05728
B2R6Q4	Csk	K05728
Q14247	CttN	K06106
Q53HG7	CttN	K06106
Q96H99	CttN	K06106
Q8N707	CttN	K06106
P14317	HclS1	K06106
P00519	Abl1	K06619
Q59FK4	Abl1	K06619
P46108	Crk	K04438
P46109	CrkL	K04438
P60953	Cdc42	K04393
P18206	Vcl	K05700
B3KXA2	Vcl	K05700
O60610	DiaPh1	K05740
Q6URC4	DiaPh1	K05740
Q17RN4	DiaPh1	K05740
E9PEZ2	DiaPh1	K05740
Q13464	RocK1	K04514
O75116	RocK2	K04514
P42768	Was	K05747
O00401	WasL	K05747
Q1KLZ0	ActB	K05692
P60709	ActB	K05692
P63261	ActG1	K05692
P60673	Pfn3	K05759
Q8NHR9	Pfn4	K05759
P07737	Pfn1	K05759
Q53Y44	Pfn1	K05759
P35080	Pfn2	K05759
A9UGY9	Atg5	K08339
Q9H1Y0	Atg5	K08339
Q9Y239	Nod1	K08727
Q9HC29	Nod2	K10165
O43353	RipK2	K08846
A1L4K2	MapK8	K04440
P45983	MapK8	K04440
P45984	MapK9	K04440
P53779	MapK10	K04440
Q499G7	MapK1	K04371
P28482	MapK1	K04371
Q1HBJ4	MapK1	K04371
P27361	MapK3	K04371
Q9BWJ1	MapK3	K04371
Q16539	MapK14	K04441
Q15759	MapK11	K04441
O15264	MapK13	K04441
P53778	MapK12	K04441
Q9Y6K9	IkbKg	K07210
O15111	ChuK	K04467
O14920	IkbKb	K07209
B4E0U4	IkbKb	K07209
Q15653	NfkBib	K02581
P25963	NfkBia	K04734
P19838	NfkB1	K02580
Q04206	RelA	K04735
P10145	Il8	K10030
Q7Z780	U2aF1	K12836
Q01081	U2aF1	K12836
Q701P4	U2aF1	K12836
Q71RF1	U2aF1	K12836
Q9UKB1	FbxW11	K03362
Q9Y297	BtrC	K03362
Q5W141	BtrC	K03362
Q9UI95	Mad2l2	K13728
P62837	Ube2d2	K06689
Q96RP6	Ube2d2	K06689
P02679	Fgg	K03905
P01024	C3	K03990
